clean_node,original_node,ontology_id,ontology_name,umls_id,label,match_score,semantic_type,source,alternative_matches
ALT,ALT,C2346454,MSH,C2346454,ALT-801,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C3658787"", ""name"": ""ALT-803"", ""source"": ""MSH"", ""score"": 0.8}, {""umls_id"": ""C3272773"", ""name"": ""ALT-836"", ""source"": ""MSH"", ""score"": 0.8}, {""umls_id"": ""C0001899"", ""name"": ""Alanine Transaminase"", ""source"": ""MTH"", ""score"": 0.5}]"
AML,AML,C2861614,ICD10CM,C2861614,AML M5b,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C1879321"", ""name"": ""Acute Myeloid Leukemia (AML-M2)"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C5401069"", ""name"": ""AML Demographics Table"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C5401428"", ""name"": ""AML Vitals Table"", ""source"": ""MTH"", ""score"": 0.8}]"
ANXIETY,ANXIETY,C0003467,MTH,C0003467,Anxiety,1.0,Medical Concept,umls_api,"[{""umls_id"": ""C0003469"", ""name"": ""Anxiety Disorders"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C1279420"", ""name"": ""Neuroses, Anxiety"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0349231"", ""name"": ""Phobic anxiety disorder"", ""source"": ""MTH"", ""score"": 0.8}]"
Acne,Acne,C0702166,MTH,C0702166,Acne,1.0,Disease or Syndrome,umls_api,"[{""umls_id"": ""C0001144"", ""name"": ""Acne Vulgaris"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0001145"", ""name"": ""Acne Keloid"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0263442"", ""name"": ""Acne Conglobata"", ""source"": ""MSH"", ""score"": 0.8}]"
Actinic keratoses,Actinic keratoses,C1274598,SNOMEDCT_US,C1274598,Multiple actinic keratoses,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C1274599"", ""name"": ""Multiple actinic keratoses involving scalp"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C1274600"", ""name"": ""Multiple actinic keratoses involving face"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C1274602"", ""name"": ""Multiple actinic keratoses involving hands"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}]"
Adults younger than 30,Adults younger than 30,UNKNOWN:ADULTS Y,UNKNOWN,,Adults younger than 30,0.0,Medical Concept,fallback,[]
Albumin,Albumin,C5966160,MTH,C5966160,Albumin,1.0,Medical Concept,umls_api,"[{""umls_id"": ""C0001924"", ""name"": ""Albumins"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0304925"", ""name"": ""albumin human, USP"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0036773"", ""name"": ""Serum Albumin"", ""source"": ""MTH"", ""score"": 0.8}]"
Aldosteronism,Aldosteronism,C0020428,MTH,C0020428,Hyperaldosteronism,0.8,Disease or Syndrome,umls_api,"[{""umls_id"": ""C1260385"", ""name"": ""Familial aldosteronism type I"", ""source"": ""ICD10CM"", ""score"": 0.8}, {""umls_id"": ""C0271728"", ""name"": ""Secondary hyperaldosteronism"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C4020743"", ""name"": ""Glucocorticoid-remediable familial primary aldosteronism"", ""source"": ""HPO"", ""score"": 0.8}]"
Alzheimer's disease,Alzheimer's disease,C0002395,MTH,C0002395,Alzheimer's Disease,1.0,Disease or Syndrome,umls_api,"[{""umls_id"": ""C0276496"", ""name"": ""familial Alzheimer disease"", ""source"": ""MTH"", ""score"": 0.5}, {""umls_id"": ""C1863051"", ""name"": ""ALZHEIMER DISEASE 2"", ""source"": ""MTH"", ""score"": 0.5}, {""umls_id"": ""C1837149"", ""name"": ""Alzheimer Disease 9"", ""source"": ""MTH"", ""score"": 0.5}]"
AST,AST,C3252459,MSH,C3252459,AST 1306,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C0004002"", ""name"": ""Aspartate Transaminase"", ""source"": ""MTH"", ""score"": 0.5}, {""umls_id"": ""C1420113"", ""name"": ""SLC17A5 gene"", ""source"": ""MTH"", ""score"": 0.5}, {""umls_id"": ""C1415181"", ""name"": ""GOT1 gene"", ""source"": ""MTH"", ""score"": 0.5}]"
Antiphospholipid antibody syndrome,Antiphospholipid antibody syndrome,C0085278,MTH,C0085278,Antiphospholipid Syndrome,0.5,Medical Concept,umls_api,"[{""umls_id"": ""C4751518"", ""name"": ""Neonatal antiphospholipid syndrome"", ""source"": ""SNOMEDCT_US"", ""score"": 0.5}]"
Antiviral drugs,Antiviral drugs,C2876933,ICD10CM,C2876933,Underdosing of antiviral drugs,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C0261780"", ""name"": ""Adverse reaction to antiviral drugs"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C2876921"", ""name"": ""Poisoning by antiviral drugs, assault"", ""source"": ""ICD10CM"", ""score"": 0.8}, {""umls_id"": ""C2876925"", ""name"": ""Poisoning by antiviral drugs, undetermined"", ""source"": ""ICD10CM"", ""score"": 0.8}]"
Appendicitis,Appendicitis,C0003615,MTH,C0003615,Appendicitis,1.0,Medical Concept,umls_api,"[{""umls_id"": ""C0267614"", ""name"": ""Chronic appendicitis"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C0085693"", ""name"": ""Acute appendicitis NOS (disorder)"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0854119"", ""name"": ""Ruptured Appendicitis"", ""source"": ""MTH"", ""score"": 0.8}]"
Autism,Autism,C5936345,OMIM,C5936345,Autism Autism spectrum disorder,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C0338986"", ""name"": ""Atypical autism"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C4315362"", ""name"": ""Autism or autism spectrum disorder"", ""source"": ""OMIM"", ""score"": 0.8}, {""umls_id"": ""C0004352"", ""name"": ""Autistic Disorder"", ""source"": ""MTH"", ""score"": 0.5}]"
BRCA1,BRCA1,C0376571,MTH,C0376571,BRCA1 gene,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C1528558"", ""name"": ""BRCA1 protein, human"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0259275"", ""name"": ""BRCA1 Protein"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0534585"", ""name"": ""BRCA1-delta11b"", ""source"": ""MSH"", ""score"": 0.8}]"
BRCA2,BRCA2,C0598034,MTH,C0598034,BRCA2 gene,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C2973986"", ""name"": ""BRCA2 protein, human"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0294028"", ""name"": ""BRCA2 Protein"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C1838478"", ""name"": ""BRCA2, SER1882TER"", ""source"": ""OMIM"", ""score"": 0.8}]"
Bacteria,Bacteria,C0004611,MTH,C0004611,Bacteria,1.0,Medical Concept,umls_api,"[{""umls_id"": ""C1510439"", ""name"": ""bacteria aspects"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C2347473"", ""name"": ""Percent of Bacteria"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0004613"", ""name"": ""Bacteria, Anaerobic"", ""source"": ""MSH"", ""score"": 0.8}]"
Bad breath,Bad breath,C0018520,MTH,C0018520,Halitosis,0.5,Medical Concept,umls_api,"[{""umls_id"": ""C2964233"", ""name"": ""My body felt bad when I was out of breath in past 7D"", ""source"": ""LNC"", ""score"": 0.5}, {""umls_id"": ""C3699165"", ""name"": ""My body felt bad when I was out of breath in past 7D:Find:7D:^Patient:Ord:PROMIS"", ""source"": ""LNC"", ""score"": 0.5}, {""umls_id"": ""C5141836"", ""name"": ""My child's body felt bad when he or she was out of breath in past 7D"", ""source"": ""LNC"", ""score"": 0.5}]"
Basal cell carcinoma,Basal cell carcinoma,C0007117,MTH,C0007117,Basal cell carcinoma,1.0,Medical Concept,umls_api,"[{""umls_id"": ""C4721806"", ""name"": ""Skin Basal Cell Carcinoma"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C1368275"", ""name"": ""Pigmented Basal Cell Carcinoma"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0555191"", ""name"": ""Morpheic basal cell carcinoma"", ""source"": ""MTH"", ""score"": 0.8}]"
Bell's palsy,Bell's palsy,C0455514,SNOMEDCT_US,C0455514,History of Bell's palsy,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C0376175"", ""name"": ""Bell Palsy"", ""source"": ""MTH"", ""score"": 0.5}, {""umls_id"": ""C0747804"", ""name"": ""pregnancy and bell palsy"", ""source"": ""CHV"", ""score"": 0.5}, {""umls_id"": ""C1851399"", ""name"": ""Facial Palsy, Familial Recurrent Peripheral"", ""source"": ""MSH"", ""score"": 0.5}]"
Benign moles,Benign moles,C1276131,SNOMEDCT_US,C1276131,Multiple benign melanocytic nevi,0.5,Medical Concept,umls_api,"[{""umls_id"": ""C0549315"", ""name"": ""Hydatidiform mole, benign"", ""source"": ""MTH"", ""score"": 0.5}, {""umls_id"": ""C5548499"", ""name"": ""Benign complete hydatidiform mole"", ""source"": ""SNOMEDCT_US"", ""score"": 0.5}]"
Binge Eating Disorder,Binge Eating Disorder,C0596170,MTH,C0596170,Binge eating disorder,1.0,Medical Concept,umls_api,"[{""umls_id"": ""C5926669"", ""name"": ""binge eating disorder, mild"", ""source"": ""MEDCIN"", ""score"": 0.8}, {""umls_id"": ""C5926672"", ""name"": ""binge eating disorder, extreme"", ""source"": ""MEDCIN"", ""score"": 0.8}, {""umls_id"": ""C5926670"", ""name"": ""binge eating disorder, moderate"", ""source"": ""MEDCIN"", ""score"": 0.8}]"
Blood flow from left atrium into left ventricle,Blood flow from left atrium into left ventricle,UNKNOWN:BLOOD FL,UNKNOWN,,Blood flow from left atrium into left ventricle,0.0,Medical Concept,fallback,[]
Botulism,Botulism,C0006057,MTH,C0006057,Botulism,1.0,Medical Concept,umls_api,"[{""umls_id"": ""C1739094"", ""name"": ""Foodborne botulism"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0238027"", ""name"": ""Botulism, Infantile"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C1306794"", ""name"": ""Wound Botulism"", ""source"": ""MSH"", ""score"": 0.8}]"
Boys,Boys,C0870221,MSH,C0870221,Boys,1.0,Medical Concept,umls_api,"[{""umls_id"": ""C0557590"", ""name"": ""Boys boarding school"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C0429596"", ""name"": ""Tanner boys genital development stage"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C3176312"", ""name"": ""How many boys did you have:Num:Pt:^Patient:Qn:PhenX"", ""source"": ""LNC"", ""score"": 0.8}]"
Bruises,Bruises,C1717497,LNC,C1717497,Abrasions or bruises,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C0009938"", ""name"": ""Contusions"", ""source"": ""MTH"", ""score"": 0.5}, {""umls_id"": ""C0423798"", ""name"": ""Increased tendency to bruise"", ""source"": ""MTH"", ""score"": 0.5}, {""umls_id"": ""C0559567"", ""name"": ""Multiple bruising"", ""source"": ""MTH"", ""score"": 0.5}]"
Burned,[Event: Burned],C1631273,MTH,C1631273,Calories burned,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C0006434"", ""name"": ""Burn injury"", ""source"": ""MTH"", ""score"": 0.5}, {""umls_id"": ""C0162286"", ""name"": ""Burn of esophagus"", ""source"": ""SNOMEDCT_US"", ""score"": 0.5}, {""umls_id"": ""C0015395"", ""name"": ""Eye Burns"", ""source"": ""MTH"", ""score"": 0.5}]"
Bursitis,Bursitis,C0006444,MTH,C0006444,Bursitis,1.0,Medical Concept,umls_api,"[{""umls_id"": ""C0851258"", ""name"": ""Prepatellar bursitis"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0263962"", ""name"": ""Olecranon bursitis"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0262399"", ""name"": ""shoulder bursitis"", ""source"": ""MTH"", ""score"": 0.8}]"
CA-125 Test,CA-125 Test,C0201549,MTH,C0201549,CA 125 measurement,0.5,Medical Concept,umls_api,[]
COLD,COLD,C0009443,MTH,C0009443,Common Cold,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C0009264"", ""name"": ""Cold Temperature"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0234192"", ""name"": ""Cold Sensation"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0221207"", ""name"": ""Cold Urticaria"", ""source"": ""MSH"", ""score"": 0.8}]"
COLIC,COLIC,C0232488,MTH,C0232488,Abdominal colic,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C0152169"", ""name"": ""Renal Colic"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0266836"", ""name"": ""Infantile Colic"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0151824"", ""name"": ""Biliary Colic"", ""source"": ""MTH"", ""score"": 0.8}]"
CPR,CPR,C0204928,SNOMEDCT_US,C0204928,CPR education,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C2257336"", ""name"": ""CPR activity"", ""source"": ""GO"", ""score"": 0.8}, {""umls_id"": ""C0007203"", ""name"": ""Cardiopulmonary Resuscitation"", ""source"": ""MTH"", ""score"": 0.5}, {""umls_id"": ""C4078840"", ""name"": ""POR protein, human"", ""source"": ""MTH"", ""score"": 0.5}]"
CT scan,[Event: CT scan],C1699633,MTH,C1699633,PET/CT scan,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C0177779"", ""name"": ""Other CT scan"", ""source"": ""CPT"", ""score"": 0.8}, {""umls_id"": ""C4314703"", ""name"": ""Unremarkable CT scan"", ""source"": ""OMIM"", ""score"": 0.8}, {""umls_id"": ""C3842376"", ""name"": ""CT scan - pelvic"", ""source"": ""LNC"", ""score"": 0.8}]"
Caffeine,Caffeine,C0006644,MTH,C0006644,caffeine,1.0,Medical Concept,umls_api,"[{""umls_id"": ""C0202348"", ""name"": ""Caffeine Measurement"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0236734"", ""name"": ""Caffeine-related disorder"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0054436"", ""name"": ""caffeine citrate"", ""source"": ""RXNORM"", ""score"": 0.8}]"
Carbon monoxide,Carbon monoxide,C0007018,MTH,C0007018,carbon monoxide,1.0,Medical Concept,umls_api,"[{""umls_id"": ""C0007020"", ""name"": ""Carbon Monoxide Poisoning"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0108413"", ""name"": ""Carbon monoxide dehydrogenase"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0179602"", ""name"": ""Carbon monoxide analyzer"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}]"
Children with NF1,Children with NF1,UNKNOWN:CHILDREN,UNKNOWN,,Children with NF1,0.0,Medical Concept,fallback,[]
Children with dyscalculia,Children with dyscalculia,UNKNOWN:CHILDREN,UNKNOWN,,Children with dyscalculia,0.0,Medical Concept,fallback,[]
Cholera,Cholera,C0008354,MTH,C0008354,Cholera,1.0,Medical Concept,umls_api,"[{""umls_id"": ""C0008359"", ""name"": ""cholera vaccine"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0086768"", ""name"": ""Pancreatic Cholera"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0008356"", ""name"": ""Cholera Toxin"", ""source"": ""MSH"", ""score"": 0.8}]"
Cholesterol-lowering medications,Cholesterol-lowering medications,UNKNOWN:CHOLESTE,UNKNOWN,,Cholesterol-lowering medications,0.0,Medical Concept,fallback,[]
Cluster A personality disorders,Cluster A personality disorders,C0009084,SNOMEDCT_US,C0009084,Cluster A personality disorder,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C0009086"", ""name"": ""Cluster B personality disorder"", ""source"": ""SNOMEDCT_US"", ""score"": 0.5}, {""umls_id"": ""C0009087"", ""name"": ""Cluster C personality disorder"", ""source"": ""SNOMEDCT_US"", ""score"": 0.5}]"
Cluster B personality disorders,Cluster B personality disorders,C0009086,SNOMEDCT_US,C0009086,Cluster B personality disorder,0.8,Disease or Syndrome,umls_api,[]
Cluster C personality disorders,Cluster C personality disorders,C0009087,SNOMEDCT_US,C0009087,Cluster C personality disorder,0.8,Disease or Syndrome,umls_api,[]
Congestive heart failure,[Event: Congestive heart failure],C0018802,MTH,C0018802,Congestive heart failure,1.0,Medical Concept,umls_api,"[{""umls_id"": ""C0685095"", ""name"": ""Biventricular congestive heart failure"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C0264722"", ""name"": ""Chronic congestive heart failure"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C0264719"", ""name"": ""Acute congestive heart failure"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}]"
Constipation,Constipation,C0009806,MTH,C0009806,Constipation,1.0,Therapeutic or Preventive Procedure,umls_api,"[{""umls_id"": ""C0401149"", ""name"": ""Chronic constipation"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0729262"", ""name"": ""Slow transit constipation"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C0401148"", ""name"": ""Acute constipation"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}]"
Cramp,Cramp,C0026821,MTH,C0026821,Muscle Cramp,0.8,Disease or Syndrome,umls_api,"[{""umls_id"": ""C0010264"", ""name"": ""Bathing cramp"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C0154676"", ""name"": ""Organic writer's cramp"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0010263"", ""name"": ""Limb Cramp"", ""source"": ""MSH"", ""score"": 0.8}]"
Crohn's disease,Crohn's disease,C0010346,MTH,C0010346,Crohn Disease,0.5,Disease or Syndrome,umls_api,"[{""umls_id"": ""C5686427"", ""name"": ""Colorectal Crohn disease"", ""source"": ""SNOMEDCT_US"", ""score"": 0.5}, {""umls_id"": ""C5686428"", ""name"": ""Ileojejunal Crohn disease"", ""source"": ""SNOMEDCT_US"", ""score"": 0.5}, {""umls_id"": ""C2062358"", ""name"": ""Crohn disease of appendix"", ""source"": ""SNOMEDCT_US"", ""score"": 0.5}]"
Cut,Cut,C0558441,SNOMEDCT_US,C0558441,Cut - accidental,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C0445286"", ""name"": ""Step cut"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C0561272"", ""name"": ""Cut of head"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0000925"", ""name"": ""Incised wound"", ""source"": ""MTH"", ""score"": 0.5}]"
Depression,Depression,C0011570,MTH,C0011570,Mental Depression,0.8,Disease or Syndrome,umls_api,"[{""umls_id"": ""C0460137"", ""name"": ""Depression - motion"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C4085311"", ""name"": ""Depression - recess"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0011581"", ""name"": ""Depressive disorder"", ""source"": ""MTH"", ""score"": 0.5}]"
Diabetes,[Event: Diabetes],C0011847,MTH,C0011847,Diabetes,1.0,Medical Concept,umls_api,"[{""umls_id"": ""C0011849"", ""name"": ""Diabetes Mellitus"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0011848"", ""name"": ""Diabetes Insipidus"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0085207"", ""name"": ""Gestational Diabetes"", ""source"": ""MTH"", ""score"": 0.8}]"
Diaper rash,[Event: Diaper rash],C0011974,MTH,C0011974,Diaper Rash,1.0,Medical Concept,umls_api,"[{""umls_id"": ""C0719874"", ""name"": ""Diaper Rash brand of topical emollient"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0719875"", ""name"": ""Diaper Rash Ointment"", ""source"": ""MMSL"", ""score"": 0.8}, {""umls_id"": ""C3834210"", ""name"": ""Vanicream Diaper Rash"", ""source"": ""RXNORM"", ""score"": 0.8}]"
Diaper rash is easily diagnosed,Diaper rash is easily diagnosed,UNKNOWN:DIAPER R,UNKNOWN,,Diaper rash is easily diagnosed,0.0,Medical Concept,fallback,[]
Diphtheria,Diphtheria,C0012546,MTH,C0012546,Diphtheria,1.0,Disease or Syndrome,umls_api,"[{""umls_id"": ""C1440557"", ""name"": ""Diphtheria sp"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C1301422"", ""name"": ""Diphtheria due to Corynebacterium diphtheriae"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0012547"", ""name"": ""diphtheria antitoxin"", ""source"": ""MTH"", ""score"": 0.8}]"
Disease,Disease,C0012634,MTH,C0012634,Disease,1.0,Medical Concept,umls_api,"[{""umls_id"": ""C0020538"", ""name"": ""Hypertensive disease"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0019829"", ""name"": ""Hodgkin Disease"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0030567"", ""name"": ""Parkinson Disease"", ""source"": ""MTH"", ""score"": 0.8}]"
"Dizziness, confusion, or loss of consciousness","Dizziness, confusion, or loss of consciousness",UNKNOWN:DIZZINES,UNKNOWN,,"Dizziness, confusion, or loss of consciousness",0.0,Medical Concept,fallback,[]
Doctor,Doctor,C2348314,MTH,C2348314,Doctor - Title,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C0582446"", ""name"": ""Informing doctor"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C0587704"", ""name"": ""Private doctor"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C0420382"", ""name"": ""Referral to doctor"", ""source"": ""MTH"", ""score"": 0.8}]"
Doctors,Doctors,C0004746,MSH,C0004746,Barefoot Doctors,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C5984298"", ""name"": ""Doctors Service Type"", ""source"": ""NCI"", ""score"": 0.8}, {""umls_id"": ""C0459374"", ""name"": ""Seen at doctors house"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C0031831"", ""name"": ""Physicians"", ""source"": ""MTH"", ""score"": 0.5}]"
Drug,Drug,C0687133,MTH,C0687133,Drug Interactions,0.8,Pharmacologic Substance,umls_api,"[{""umls_id"": ""C0013146"", ""name"": ""Drug abuse"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0013182"", ""name"": ""Drug Allergy"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C4036061"", ""name"": ""Drug-drug"", ""source"": ""LNC"", ""score"": 0.8}]"
Dyscalculia,Dyscalculia,C0869474,MTH,C0869474,Dyscalculia,1.0,Disease or Syndrome,umls_api,"[{""umls_id"": ""C3178984"", ""name"": ""Acquired Dyscalculia"", ""source"": ""MSH"", ""score"": 0.8}, {""umls_id"": ""C1395913"", ""name"": ""Developmental Dyscalculia"", ""source"": ""MSH"", ""score"": 0.8}, {""umls_id"": ""C5397701"", ""name"": ""Focal cognitive seizure with dyscalculia/acalculia"", ""source"": ""HPO"", ""score"": 0.8}]"
ERCP,[Event: ERCP],C5551726,MTH,C5551726,ERCP study,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C0943678"", ""name"": ""ERCP study:Find:Stdy:Liver+Pancreas:Doc:ERCP"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0349628"", ""name"": ""Post-ERCP acute pancreatitis"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C0008310"", ""name"": ""Endoscopic Retrograde Cholangiopancreatography"", ""source"": ""MTH"", ""score"": 0.5}]"
Echinacea,Echinacea,C0752270,MTH,C0752270,Echinacea preparation,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C1095869"", ""name"": ""Echinacea <Asteraceae>"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C5445960"", ""name"": ""Echinacea antigen"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0874052"", ""name"": ""Echinacea purpurea extract"", ""source"": ""MTH"", ""score"": 0.8}]"
Epidermal cysts,Epidermal cysts,C0014511,MTH,C0014511,Epithelial cyst,0.5,Medical Concept,umls_api,"[{""umls_id"": ""C0259770"", ""name"": ""Epithelial inclusion cyst"", ""source"": ""MTH"", ""score"": 0.5}, {""umls_id"": ""C1864810"", ""name"": ""Cysts are lined by epidermal cells"", ""source"": ""OMIM"", ""score"": 0.5}, {""umls_id"": ""C0345990"", ""name"": ""Ruptured epidermal cyst"", ""source"": ""SNOMEDCT_US"", ""score"": 0.5}]"
